codCliente,codEstab
1182,68644
1279,789
12884,6263
1333,899
1366,6180
1473,2833
1490,9447
15013,1062
15576,651
1665,31113
17026,644
18163,1075
1917,657
22656,983
2311,5793
256,21829
2673,2835
2721,32211
28212,1860
28364,604
334,2828
3415,633
350,23425
37,8644
3842,36
449,5920
483,8482
58,638
744,532
9703,4608
12025,41425
10271,511
10634,32845
21731,6178
14407,19848
2201,1751
9009,841
5692,30499
11674,9280
26421,1174
11771,24544
5480,1337
15489,28075
16576,6142
25227,1183
20,834
24992,19304
24030,19870
19555,45477
27543,23623
7777,8477
3079,6918
17264,14529
964,58390
681,31067
14040,802
1711,15878
14187,19437
25796,2549
7147,29544
19225,4288
22641,476
14007,2227
13094,56392
17635,31041
15904,4289
2003,20132
16565,30179
3967,4286
19912,20958
26109,4306
21620,22250
5754,18625
4195,39434
17706,39553
186,35710
11778,3568
49,45553
1474,4617
2115,8501
6647,54013
5200,472
3291,7210
12117,4200
10332,51826
2065,51789
2591,18700
5985,43389
8685,43330
24235,19650
23651,40683
11408,841
13225,48827
3264,11325
8696,31633
19681,50426
10709,1198
14611,637
4441,63723
27766,45824
13738,38523
3234,50273
10195,24701
9256,18965
17750,31965
5164,23224
3052,7618
7876,15102
19367,37493
25286,34646
15512,16732
2657,832
7100,30925
13424,42481
28450,31163
16058,42901
27186,29491
10036,4594
5988,17585
28419,46616
24080,6177
15420,28071
16995,532
22370,61834
18983,52883
9196,76048
4733,43634
29788,34605
25120,38513
3923,1978
7853,19858
17811,5919
7064,31720
6805,49258
29875,48680
12808,33971
18434,1620
15918,38419
25120,39919
8162,53548
23398,6182
3357,40839
19788,641
11798,39947
10550,44736
4051,833
21033,1119
29682,24110
20067,4329
18858,43009
22976,79268
25918,19371
2116,56288
18723,50445
210,833
7970,606
3630,33318
16567,41368
12596,635
2158,41307
8717,24544
16970,39681
20491,28746
10984,17984
13748,45419
6295,42715
29038,24539
11607,4555
5458,19716
19142,4323
11630,640
25004,27932
8225,8301
9290,32621
2627,29358
24156,70951
8096,37131
17119,6093
10865,4275
20015,1390
17904,41522
5821,66874
23177,76732
929,20610
15146,41122
647,1180
16554,39775
15671,25959
18862,39641
24022,65322
8596,21714
14696,42927
23462,32320
12801,4562
29446,59119
14132,19889
21632,49286
29452,25481
4732,31823
18985,36058
18761,35569
8596,29735
716,658
9664,59288
25560,21843
5078,47334
29107,47590
2689,67375
24419,28068
13629,1175
13432,917
29581,34690
27526,535
19621,4312
3116,18652
19938,25840
21829,50396
22064,17147
11255,37428
21727,73021
20658,21822
6695,1741
5538,33069
27167,18952
9584,23650
10317,78986
16673,39293
11373,5705
13664,5555
1873,3971
6424,31415
24075,21041
25159,21248
4262,31104
953,67998
4055,18818
9216,30191
4698,76438
20590,548
28022,47680
17412,10409
18814,52488
394,914
13340,61855
24173,36722
21050,6796
16653,3349
13691,19887
2587,19807
13871,41458
22647,644
5006,2958
10111,26050
23386,651
5440,26006
15114,27079
15230,41517
14004,19970
5739,22845
4667,18338
4836,830
27695,34484
11529,42571
7306,22068
809,31065
1965,1767
11758,77849
3506,24544
12859,19843
9732,32886
17612,44604
9760,19645
6604,42480
7540,23643
7383,18820
8015,45801
22499,39641
2313,17700
